time,F: theta1,F: theta1dot,F: theta2,F: theta2dot,F: s,F: E,F: MotorEnable,T: y,T: dy,T: d2y,T: d3y,T: d4y
7.08,0.0,0.0,0.19085175370557986,1.272142407243354,0.0,4.137000476267859e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.21205750411731114,1.0771202439823213,0.0,5.107407995392428e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.12,0.0,0.0,0.2285508655486577,0.845717881826899,0.0,5.932790349215729e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.14,0.0,0.0,0.24033183799961952,0.6110871709483178,0.0,6.560181825192954e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.16,0.0,0.0,0.2474004214701966,0.3586459799343432,0.0,6.951749771506376e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.18,0.0,0.0,0.24897121779699152,0.1245094662552515,0.0,7.040306200946378e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.24504422698000425,-0.16804891517162648,0.0,6.81996603434131e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.22,0.0,0.0,0.2356194490192348,-0.43909609240190894,0.0,6.305441969620292e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.24,0.0,0.0,0.22226768024147806,-0.6509485864855495,0.0,5.6110726878324346e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.26,0.0,0.0,0.20341812431993914,-0.9093540151386241,0.0,4.699726141823309e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.28,0.0,0.0,0.18064157758141294,-1.11122731305573,0.0,3.706198668810133e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.15393804002589948,-1.300440632034095,0.0,2.6914428744992363e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.32,0.0,0.0,0.1240929098167962,-1.4608117054112566,0.0,1.7489894814399885e-05,0.0,0.0,0.0,0.0,0.0,0.0
7.34,0.0,0.0,0.09189158511750083,-1.5854883758191618,0.0,9.590577235792309e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.36,0.0,0.0,0.057334065928013093,-1.7002727499742816,0.0,3.733522250678412e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.38,0.0,0.0,0.021991148575127933,-1.7567793842316648,0.0,5.492740560202242e-07,0.0,0.0,0.0,0.0,0.0,0.0
