,time,F: theta1,F: theta1dot,F: theta2,F: theta2dot
178,0.178,0.000772219687310296,0.012597330222847532,-0.00010937545477451963,-0.0023794963763071977
179,0.179,0.0007849967089811086,0.012957781924881426,-0.00011183230083362809,-0.0025151134330881155
180,0.18,0.0007981417360049872,0.013332920467642385,-0.00011442923858659109,-0.002653613603243402
181,0.181,0.0008116691555146542,0.0137224924920136,-0.0001171666713544814,-0.0027946743617385866
182,0.182,0.0008255931468219452,0.014126248605206821,-0.00012004516382314924,-0.0029379956234277978
183,0.183,0.0008399276814178094,0.014543943380762366,-0.00012306544204322229,-0.00308329974305376
184,0.184,0.0008546865229723093,0.014975335358549112,-0.00012622839343010564,-0.003230331515247797
185,0.185,0.0008698832273346209,0.015420187044764496,-0.00012953506676398192,-0.00337885817452983
186,0.186,0.0008855311425330332,0.01587826491193452,-0.00013298667218981111,-0.003528669395308379
187,0.187,0.0009016434087749489,0.016349339398913747,-0.0001365845812173307,-0.003679577291880559
188,0.188,0.0009182329584468841,0.0168331849108853,-0.0001403303267210556,-0.003831416418432086
189,0.189,0.000935312516114468,0.01732957981936086,-0.00014422560294027816,-0.003984043769037273
190,0.19,0.0009528945985224435,0.017838306462180695,-0.00014827226547906816,-0.00413733877765903
191,0.191,0.0009709915145946669,0.018359151143513597,-0.00015247233130627293,-0.004291203318148867
192,0.192,0.0009896153654341076,0.018891904133856944,-0.00015682797875551713,-0.004445561704246887
193,0.193,0.0010087780443228482,0.019436359670036672,-0.00016134154752520295,-0.004600360689581799
194,0.194,0.0010284912367220856,0.01999231595520728,-0.00016601553867850994,-0.004755569467670903
195,0.195,0.0010487663956540143,0.020559575260496482,-0.00017084940994176786,-0.004911160975136031
196,0.196,0.001069614625051362,0.02113794552038168,-0.0001758399302342796,-0.005067087894023727
197,0.197,0.0010910468090945767,0.021727238759729692,-0.00018098689181446253,-0.0052233206228184705
198,0.198,0.0011130736760407742,0.02232726993206817,-0.00018629020671331395,-0.005379843659447398
199,0.199,0.0011357057982729118,0.02293785691789682,-0.00019174989399380006,-0.0055366555524557284
200,0.2,0.0011589535922997903,0.02355882052468739,-0.00019736607975085607,-0.005693768901006756
201,0.201,0.0011828273187560524,0.024189984486883667,-0.00020313899711138617,-0.005851210354881856
202,0.202,0.001207337082402183,0.024831175465901488,-0.0002090689862342635,-0.00600902061448048
203,0.203,0.0012324928321245099,0.02548222305012874,-0.0002151564943103302,-0.006167254430820164
204,0.20400000000000001,0.0012583043609352025,0.026142959754925338,-0.00022140207556239737,-0.006325980605536519
205,0.20500000000000002,0.0012847813059722736,0.026813221022623256,-0.00022780639124524513,-0.006485281990883235
206,0.20600000000000002,0.0013119331484995774,0.027492845222526506,-0.0002343702096456225,-0.006645255489732084
207,0.20700000000000002,0.001339769213906811,0.028181673650911152,-0.00024109440608224755,-0.006806012055572916
208,0.20800000000000002,0.0013682986717095142,0.02887955053102529,-0.00024797996290580734,-0.006967676692513658
209,0.209,0.0013975305355490675,0.029586323013089052,-0.0002550279694989576,-0.007130388455280315
210,0.21,0.0014274736631926968,0.030301841174294665,-0.0002622396222763236,-0.007294300449216981
211,0.211,0.001458136756533468,0.03102595801880635,-0.0002696162246844993,-0.007459579830285818
212,0.212,0.0014895297583818674,0.03175849927254483,-0.0002771573001318234,-0.00762605126449906
213,0.213,0.0015216628676885822,0.03249928508628469,-0.0002848621566135675,-0.007793471937512597
214,0.214,0.0015545436561060254,0.03324819209798399,-0.0002927337708288682,-0.007962250683079725
215,0.215,0.001588179586799972,0.034005098599963736,-0.00030077524655590973,-0.008132783913730153
216,0.216,0.0016225780466677495,0.03476988383995392,-0.00030898977014455557,-0.00830544726666173
217,0.217,0.0016577463463382377,0.035542428021093565,-0.00031738061051634784,-0.008480595603740435
218,0.218,0.0016936917201718687,0.0363226123019307,-0.00032595111916450785,-0.008658563011500389
219,0.219,0.0017304213262606272,0.037110318796422355,-0.0003347047301539358,-0.008839662801143847
220,0.22,0.0017679422464280503,0.03790543057393458,-0.00034364496012121077,-0.009024187508541205
221,0.221,0.001806261486229227,0.038707831659242437,-0.00035277540827459105,-0.009212408894230991
222,0.222,0.0018453859749507993,0.03951740703252998,-0.0003620997563940136,-0.009404577943419873
